Title,Date,title_nostop,title_stemmed,sentiment_score
"['aktieoverblik', 'mærsk', 'højt', 'til', 'vejrs']",2007-05-31,"['aktieoverblik', 'mærsk', 'højt', 'vejrs']","['aktieoverblik', 'mærsk', 'højt', 'vejr']",0.0
"['danske', 'aktier', 'ramt', 'af', 'kinesisk', 'uro']",2007-05-31,"['danske', 'aktier', 'ramt', 'kinesisk', 'uro']","['dansk', 'akti', 'ramt', 'kinesisk', 'uro']",-4.0
"['aktiefald', 'over', 'en', 'bred', 'kam']",2007-05-30,"['aktiefald', 'bred', 'kam']","['aktiefald', 'bred', 'kam']",0.0
"['danske', 'aktier', 'godt', 'fra', 'start', 'efter', 'helligdag']",2007-05-30,"['danske', 'aktier', 'godt', 'start', 'helligdag']","['dansk', 'akti', 'godt', 'start', 'helligdag']",3.0
"['danske', 'aktier', 'op', 'efter', 'pinsen']",2007-05-29,"['danske', 'aktier', 'pinsen']","['dansk', 'akti', 'pins']",0.0
"['danske', 'aktier', 'op', 'efter', 'pinsen']",2007-05-29,"['danske', 'aktier', 'pinsen']","['dansk', 'akti', 'pins']",0.0
"['aktier', 'styrket', 'efter', 'pinsen']",2007-05-29,"['aktier', 'styrket', 'pinsen']","['akti', 'styrk', 'pins']",2.0
"['aktieoverblik', 'rederier', 'har', 'medvind']",2007-05-29,"['aktieoverblik', 'rederier', 'medvind']","['aktieoverblik', 'rederi', 'medvind']",0.0
"['aktieoverblik', 'coloplast', 'går', 'forrest']",2007-05-25,"['aktieoverblik', 'coloplast', 'går', 'forrest']","['aktieoverblik', 'coloplast', 'går', 'forrest']",0.0
"['forsigtige', 'aktier', 'har', 'kurs', 'mod', 'pinsen']",2007-05-25,"['forsigtige', 'aktier', 'kurs', 'pinsen']","['forsig', 'akti', 'kur', 'pins']",-1.0
"['aktieoverblik', 'novo', 'fører', 'an', 'i', 'c20plus']",2007-05-22,"['aktieoverblik', 'novo', 'fører', 'an', 'c20plus']","['aktieoverblik', 'novo', 'før', 'an', 'c20plus']",0.0
"['på', 'ny', 'rekorder', 'i', 'de', 'danske', 'aktieindeks']",2007-05-22,"['ny', 'rekorder', 'danske', 'aktieindeks']","['ny', 'rekord', 'dansk', 'aktieindek']",0.0
"['rekord', 'til', 'de', 'danske', 'aktieindeks']",2007-05-21,"['rekord', 'danske', 'aktieindeks']","['rekord', 'dansk', 'aktieindek']",0.0
"['lavere', 'skat', 'styrker', 'novo', 'nordisk']",2007-05-21,"['lavere', 'skat', 'styrker', 'novo', 'nordisk']","['lav', 'skat', 'styrk', 'novo', 'nordisk']",2.0
"['usas', 'diabetesudgifter', 'svulmer', 'op']",2007-05-18,"['usas', 'diabetesudgifter', 'svulmer']","['usa', 'diabetesudgift', 'svulm']",0.0
"['aktieoverblik', 'c20', 'i', 'et', 'mindre', 'fald']",2007-05-16,"['aktieoverblik', 'c20', 'mindre', 'fald']","['aktieoverblik', 'c20', 'mindr', 'fald']",0.0
"['negativt', 'c20', 'anført', 'af', 'novo', 'og', 'vestas']",2007-05-16,"['negativt', 'c20', 'anført', 'novo', 'vestas']","['negativt', 'c20', 'anført', 'novo', 'vesta']",-2.0
"['oversigt', 'over', 'aktier', 'med', 'rang', 'efter', 'markedsværdi']",2007-05-16,"['oversigt', 'aktier', 'rang', 'markedsværdi']","['overs', 'akti', 'rang', 'markedsværdi']",0.0
"['danske', 'køb', 'holdt', 'vestasaktien', 'oppe']",2007-05-16,"['danske', 'køb', 'holdt', 'vestasaktien', 'oppe']","['dansk', 'køb', 'hold', 'vestasakti', 'opp']",0.0
"['underholdning', 'øl', 'og', 'containere', 'hitter', 'hos', 'aktieinteresserede']",2007-05-16,"['underholdning', 'øl', 'containere', 'hitter', 'aktieinteresserede']","['underholdning', 'øl', 'contain', 'hit', 'aktieinteres']",0.0
"['novozymes', 'promoverer', 'proteiner', 'i', 'usa']",2007-05-14,"['novozymes', 'promoverer', 'proteiner', 'usa']","['novozym', 'promov', 'protein', 'usa']",0.0
"['danfoss', 'presser', 'novo', 'på', 'imagetoppen']",2007-05-11,"['danfoss', 'presser', 'novo', 'imagetoppen']","['danfos', 'pres', 'novo', 'imagetop']",0.0
"['novo', 'går', 'imod', 'børsflugt']",2007-05-11,"['novo', 'går', 'imod', 'børsflugt']","['novo', 'går', 'imod', 'børsflug']",-1.0
"['grå', 'skyer', 'prægede', 'dansk', 'aktiemarked']",2007-05-11,"['grå', 'skyer', 'prægede', 'dansk', 'aktiemarked']","['grå', 'skyer', 'præged', 'dansk', 'aktiemarked']",-1.0
"['aktieoverblik', 'tiltagende', 'surmuleri']",2007-05-10,"['aktieoverblik', 'tiltagende', 'surmuleri']","['aktieoverblik', 'tiltag', 'surmuleri']",0.0
"['novo', 'taber', 'terræn']",2007-05-09,"['novo', 'taber', 'terræn']","['novo', 'tab', 'terræn']",-3.0
"['novochefer', 'tjener', 'kassen', 'på', 'optioner']",2007-05-03,"['novochefer', 'tjener', 'kassen', 'optioner']","['novochef', 'tjen', 'kas', 'option']",0.0
"['aktieoverblik', 'dagen', 'tilhører', 'danisco']",2007-05-03,"['aktieoverblik', 'dagen', 'tilhører', 'danisco']","['aktieoverblik', 'dag', 'tilhør', 'danisco']",0.0
"['aktieoverblik', 'danisco', 'kan', 'ikke', 'redde', 'c20', 'fra', 'minus']",2007-05-03,"['aktieoverblik', 'danisco', 'kan', 'redde', 'c20', 'minus']","['aktieoverblik', 'danisco', 'kan', 'red', 'c20', 'minus']",0.0
"['novoaktien', 'opjusteres', 'på', 'flot', 'regnskab']",2007-05-03,"['novoaktien', 'opjusteres', 'flot', 'regnskab']","['novoakti', 'opjust', 'flot', 'regnskab']",3.0
"['aktieoverblik', 'nordea', 'åbner', 'i', 'nedtur']",2007-05-03,"['aktieoverblik', 'nordea', 'åbner', 'nedtur']","['aktieoverblik', 'nordea', 'åbn', 'nedtur']",-3.0
"['novokonkurrent', 'stormer', 'frem']",2007-05-03,"['novokonkurrent', 'stormer', 'frem']","['novokonkurrent', 'storm', 'frem']",0.0
"['novo', 'flyvende', 'trods', 'dollardyk']",2007-05-03,"['novo', 'flyvende', 'trods', 'dollardyk']","['novo', 'flyv', 'trod', 'dollardyk']",0.0
"['de', 'hjemlige', 'aktier', 'tager', 'til', 'genmæle']",2007-05-03,"['hjemlige', 'aktier', 'tager', 'genmæle']","['hjem', 'akti', 'tag', 'genmæl']",0.0
"['de', 'hjemlige', 'aktier', 'tog', 'til', 'genmæle']",2007-05-02,"['hjemlige', 'aktier', 'tog', 'genmæle']","['hjem', 'akti', 'tog', 'genmæl']",0.0
"['aktieoverblik', 'novo', 'nordisk', 'og', 'danisco', 'topper']",2007-05-02,"['aktieoverblik', 'novo', 'nordisk', 'danisco', 'topper']","['aktieoverblik', 'novo', 'nordisk', 'danisco', 'top']",0.0
"['de', 'hjemlige', 'aktier', 'tager', 'til', 'genmæle']",2007-05-02,"['hjemlige', 'aktier', 'tager', 'genmæle']","['hjem', 'akti', 'tag', 'genmæl']",0.0
"['novo', 'in', 'us', 'offensive', 'with', '700', 'new', 'sales', 'people']",2007-05-02,"['novo', 'in', 'us', 'offensive', 'with', '700', 'new', 'sales', 'people']","['novo', 'in', 'us', 'offensiv', 'with', '700', 'new', 'sal', 'peopl']",0.0
"['novo', 'sender', 'c20', 'tilbage', 'på', 'rekordkurs']",2007-05-02,"['novo', 'sender', 'c20', 'tilbage', 'rekordkurs']","['novo', 'send', 'c20', 'tilbag', 'rekordkur']",0.0
"['700', 'sælgere', 'klar', 'til', 'novos', 'usaoffensiv']",2007-05-02,"['700', 'sælgere', 'klar', 'novos', 'usaoffensiv']","['700', 'sælg', 'klar', 'novo', 'usaoffensiv']",1.0
"['aktieoverblik', 'opkomling', 'slår', 'novo', 'nordisk']",2007-05-02,"['aktieoverblik', 'opkomling', 'slår', 'novo', 'nordisk']","['aktieoverblik', 'opkomling', 'slår', 'novo', 'nordisk']",0.0
"['c20fremgang', 'anført', 'af', 'pænt', 'novoplus']",2007-05-02,"['c20fremgang', 'anført', 'pænt', 'novoplus']","['c20fremgang', 'anført', 'pænt', 'novoplus']",2.0
"['analytikere', 'imponeret', 'over', 'novo']",2007-05-02,"['analytikere', 'imponeret', 'novo']","['analytik', 'impon', 'novo']",3.0
"['novos', '1stquarter', 'result', 'made', 'share', 'price', 'go', 'up', 'bns', 'summary']",2007-05-02,"['novos', '1stquarter', 'result', 'made', 'share', 'price', 'go', 'up', 'bns', 'summary']","['novo', '1stquart', 'result', 'mad', 'shar', 'pric', 'go', 'up', 'bns', 'summary']",0.0
"['aktieoverblik', 'novomedvind', 'til', 'vestas']",2007-05-02,"['aktieoverblik', 'novomedvind', 'vestas']","['aktieoverblik', 'novomedvind', 'vesta']",0.0
"['regnskab', 'forgylder', 'novoaktionærer']",2007-05-02,"['regnskab', 'forgylder', 'novoaktionærer']","['regnskab', 'forgyld', 'novoaktionær']",0.0
"['salg', 'af', 'novoseven', 'en', 'fortsat', 'guldgrube']",2007-05-02,"['salg', 'novoseven', 'fortsat', 'guldgrube']","['salg', 'novosev', 'fortsat', 'guldgrub']",0.0
"['valutafald', 'rammer', 'novo', 'nordisks', 'drift']",2007-05-02,"['valutafald', 'rammer', 'novo', 'nordisks', 'drift']","['valutafald', 'ram', 'novo', 'nordisk', 'drift']",0.0
"['novo', 'nordisk', 'i', 'storform', 'trods', 'valutapres']",2007-05-02,"['novo', 'nordisk', 'storform', 'trods', 'valutapres']","['novo', 'nordisk', 'storform', 'trod', 'valutapr']",0.0
"['novo', 'skaber', 'rugekasse', 'for', 'biotekideer']",2007-05-02,"['novo', 'skaber', 'rugekasse', 'biotekideer']","['novo', 'skab', 'rugekas', 'biotekide']",0.0
"['danske', 'aktier', 'dykker']",2007-05-01,"['danske', 'aktier', 'dykker']","['dansk', 'akti', 'dyk']",0.0
"['vindmølleplan', 'gratis', 'for', 'novo', 'nordisk']",2007-05-01,"['vindmølleplan', 'gratis', 'novo', 'nordisk']","['vindmølleplan', 'gratis', 'novo', 'nordisk']",0.0
"['novo', 'og', 'dong', 'i', 'fælles', 'miljøsatsning']",2007-05-01,"['novo', 'dong', 'fælles', 'miljøsatsning']","['novo', 'dong', 'fæl', 'miljøsatsning']",0.0
"['aktieoverblik', 'pilen', 'fortsætter', 'ned']",2007-05-01,"['aktieoverblik', 'pilen', 'fortsætter']","['aktieoverblik', 'pil', 'fortsæt']",0.0
"['iværksættere', 'får', '100', 'mio', 'kr', 'af', 'novo']",2007-05-01,"['iværksættere', 'får', '100', 'mio', 'kr', 'novo']","['iværksæt', 'får', '100', 'mio', 'kr', 'novo']",0.0
"['valutadyk', 'kan', 'bremse', 'novos', 'profit']",2007-05-01,"['valutadyk', 'kan', 'bremse', 'novos', 'profit']","['valutadyk', 'kan', 'brems', 'novo', 'profit']",0.0
"['danske', 'aktier', 'sendt', 'på', 'beskeden', 'optur']",2007-05-01,"['danske', 'aktier', 'sendt', 'beskeden', 'optur']","['dansk', 'akti', 'send', 'besked', 'optur']",0.0
"['novo', 'og', 'dong', 'i', 'ny', 'omfavnelse']",2007-05-01,"['novo', 'dong', 'ny', 'omfavnelse']","['novo', 'dong', 'ny', 'omfavn']",0.0
