Date,mean_sentiment,std_sentiment,daily_volume,daily_return
2001-01-09,2.5,3.5355339059327378,2,0.0
2001-01-15,-0.5,0.7071067811865476,2,0.0
2001-01-19,-0.3333333333333333,0.5773502691896258,3,0.0
2001-01-25,0.0,0.0,2,0.0
2001-01-26,0.4,0.8944271909999159,5,0.0
2001-02-06,1.0,1.4142135623730951,2,0.0
2001-02-07,-1.0,4.242640687119285,2,0.24350662430117676
2001-02-20,0.8,1.3038404810405297,5,0.0
2001-02-21,1.0,1.4142135623730951,5,0.0
2001-02-23,0.0,0.0,2,0.0
2001-02-26,0.0,0.0,2,0.0
2001-03-06,0.0,0.0,3,0.0
2001-03-19,1.0,1.4142135623730951,2,0.0
2001-03-20,0.4,0.894427190999916,5,0.0
2001-04-03,0.0,0.0,3,0.0
2001-04-06,0.0,0.0,2,0.022222118405231805
2001-04-19,0.5,1.9148542155126762,4,-0.04538347730135239
2001-04-20,1.0,1.4142135623730951,2,-0.0098358717077488
2001-05-01,0.0,0.0,2,0.0
2001-05-08,0.0,0.0,3,0.08576057914736301
2001-05-09,0.5,1.0,4,-0.005961335305394
2001-05-22,0.0,0.0,2,0.008721094336707313
2001-05-30,0.0,0.0,2,-0.010072184863399114
2001-06-05,1.0,1.4142135623730951,2,0.0
2001-06-06,-0.25,0.5,4,0.12732913549555414
2001-06-07,0.0,0.0,3,0.022038479243422948
2001-06-08,0.0,0.0,2,-0.029649430910496544
2001-06-11,0.0,0.0,3,0.0027776161362393914
2001-06-19,0.0,0.0,3,0.018918595169452157
2001-06-20,1.0,1.4142135623730951,2,0.04774587924241547
2001-06-21,0.5,1.0,4,-0.007595149757862685
2001-06-25,-0.5,0.7071067811865476,2,-0.007853324638554926
2001-06-29,0.0,0.0,2,0.005168031290474939
2001-07-10,0.5,0.7071067811865476,2,-0.020253586586321703
2001-07-16,-0.5,0.7071067811865476,2,-0.04177543803501382
2001-07-19,0.6666666666666666,1.1547005383792517,3,0.01066673950956476
2001-07-27,1.0,1.4142135623730951,2,0.04252390949197182
2001-07-30,1.0,1.4142135623730951,2,0.017105561699481964
2001-08-02,0.0,0.0,2,0.0052906967157801965
2001-08-07,0.0,0.0,4,-0.05181322400121635
2001-08-08,0.25,0.7071067811865476,8,-0.0081970308508168
2001-08-09,0.0,0.0,2,-0.024793219594737237
2001-08-15,-0.6666666666666666,1.1547005383792517,3,0.018813054060189183
2001-09-24,0.0,0.0,2,0.001577377086515508
2001-09-27,0.0,0.0,2,0.04658400928307205
2001-10-29,-1.6666666666666667,0.5773502691896257,3,-0.03529434828747202
2001-10-30,0.3333333333333333,2.516611478423583,3,0.0
2001-11-06,0.0,0.0,2,-0.013024846049501715
2001-11-07,-0.6666666666666666,1.1547005383792517,3,-0.017595134213521546
2001-11-12,0.0,0.0,2,-0.016000174330450534
2001-11-22,0.0,0.0,2,0.006269770550133114
2001-11-30,1.0,1.4142135623730951,2,0.048701378698677855
2001-12-14,0.0,0.0,2,-0.01689707242582661
2001-12-28,0.0,0.0,2,0.011851930255162957
2002-01-04,0.0,0.0,2,-0.015600436939718576
2002-01-07,1.0,1.4142135623730951,2,-0.011093586733095684
2002-01-11,0.0,0.0,2,-0.027200259427348494
2002-01-23,0.0,0.0,2,-0.014634045637848425
2002-02-07,-0.3333333333333333,0.5773502691896258,3,0.0015949877860881312
2002-02-08,0.0,0.0,4,0.00955431952743191
2002-02-12,0.0,0.0,2,-0.0015948957445516276
2002-04-10,0.0,0.0,7,-0.21354925485282805
2002-04-11,0.0,0.0,8,-0.05430730343840695
2002-04-12,-0.3333333333333333,0.816496580927726,6,0.025742516009949146
2002-04-16,0.0,0.0,4,-0.016194412051765195
2002-04-17,-1.0,1.4142135623730951,2,0.03703719378036219
2002-04-19,0.0,0.0,3,0.04048608795627273
2002-04-29,0.0,0.0,2,-0.043032413586404195
2002-04-30,0.3333333333333333,0.5773502691896258,3,0.03640254837351886
2002-05-01,0.25,0.5,4,0.07437999846779864
2002-05-02,0.8333333333333334,0.9831920802501751,6,0.06730788141266486
2002-05-06,0.0,0.0,2,0.020370219309006732
2002-05-10,-1.0,1.4142135623730951,2,0.0
2002-05-17,1.0,1.4142135623730951,2,0.005681806500452247
2002-05-27,-1.0,1.0,3,0.015810466798652056
2002-06-04,-1.0,0.0,2,-0.007905007577452938
2002-07-04,0.0,0.0,2,0.049250240352868735
2002-07-11,0.0,0.0,2,-0.06382965532909979
2002-07-17,0.0,0.0,2,0.01909276048779529
2002-07-18,0.0,0.0,2,0.014051359305809363
2002-07-23,-0.6666666666666666,1.0327955589886444,6,-0.07142871717583776
2002-07-25,0.25,2.0615528128088303,4,0.02670608556427978
2002-07-26,0.5,0.7071067811865476,2,-0.02890175462525002
2002-08-01,-1.0,1.4142135623730951,2,0.01960804082908707
2002-08-05,0.3333333333333333,1.5275252316519465,3,-0.05191267685157308
2002-08-06,1.0,1.7320508075688772,3,0.18155618908530502
2002-08-07,0.0,1.2649110640673518,6,0.0
2002-08-09,1.0,1.4142135623730951,2,0.03694572962275089
2002-08-26,0.0,0.0,3,-0.01746720641894639
2002-09-03,0.0,0.0,2,-0.04051180617006267
2002-09-10,0.0,0.0,2,0.011135769041443533
2002-09-17,-0.6,1.949358868961793,5,-0.002202575537864515
2002-10-08,0.0,0.0,2,-0.05339814778349172
2002-10-30,-0.5,1.0,4,-0.029953790109483958
2002-11-04,0.0,0.0,2,0.004672351392007501
2002-11-19,0.0,0.0,3,-0.004566329765003707
2002-12-11,0.0,0.0,2,0.009259171703434932
