mean,std,volume_of_articles
0.375,1.5059406173077154,8
0.0,,1
0.5,0.7071067811865476,2
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
3.0,,1
-2.0,0.0,2
1.0,1.4142135623730951,2
2.0,2.8284271247461903,2
-2.0,0.0,2
0.0,0.0,2
0.21428571428571427,1.7177163475234936,14
-0.5,1.0,4
0.0,,1
0.14285714285714285,2.340126166724879,7
-0.2222222222222222,1.3944333775567925,9
0.0,,1
0.0,0.0,3
0.0,,1
-2.0,,1
-0.5,0.7071067811865476,2
1.1666666666666667,1.3291601358251257,6
0.0,0.0,2
1.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,0.9354143466934854,17
-0.6666666666666666,1.1547005383792517,3
-1.0,,1
-1.0,,1
0.6,1.3416407864998738,5
-1.3333333333333333,1.1547005383792517,3
-2.5,3.5355339059327378,2
0.0,,1
-1.0,1.7320508075688772,3
0.5,0.7071067811865476,2
0.0,,1
0.8,1.0954451150103321,5
1.6666666666666667,0.5773502691896257,3
-0.3333333333333333,0.5163977794943223,6
2.0,,1
-2.5,0.7071067811865476,2
-1.0,1.4142135623730951,2
0.0,,1
-0.25,1.5811388300841898,8
0.5,2.1213203435596424,2
-0.3333333333333333,0.5773502691896258,3
1.25,1.4999999999999998,4
-1.5,0.8366600265340757,6
0.0,,1
-2.0,,1
-1.0,,1
-2.0,,1
0.3333333333333333,0.5773502691896258,3
1.5,2.1213203435596424,2
0.0,,1
-0.6666666666666666,1.1547005383792517,3
0.0,0.0,2
0.0,,1
0.0,,1
-0.25,1.6690459207925603,8
-0.08333333333333333,1.378954368902449,12
0.0,0.0,2
-0.5238095238095238,1.833549770773829,21
0.0,,1
-0.2857142857142857,1.889822365046136,7
0.5,0.7071067811865476,2
0.0,0.0,2
-0.8333333333333334,0.983192080250175,6
-1.0,,1
-0.5,1.0,4
-2.0,,1
1.2,1.6431676725154984,5
0.0,,1
2.0,0.0,2
-2.0,,1
-4.0,,1
0.0,0.0,2
-1.0,1.4142135623730951,2
-2.0,,1
0.0,2.8284271247461903,2
0.6666666666666666,1.1547005383792517,3
-0.6666666666666666,2.3094010767585034,3
-1.0,1.4142135623730951,2
0.0,,1
0.0,0.0,2
0.0,,1
2.0,3.1622776601683795,4
-3.0,,1
0.0,,1
0.6666666666666666,1.1547005383792517,3
0.0,1.632993161855452,4
0.0,,1
-2.0,,1
2.0,,1
0.0,1.0,3
2.0,,1
1.0,1.1547005383792515,4
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
-1.0,,1
0.0,,1
0.0,0.0,2
4.0,,1
0.0,0.0,2
0.0,,1
-1.0,1.4142135623730951,2
-1.0714285714285714,1.328057326976612,14
0.6666666666666666,1.1547005383792517,3
1.0,1.4142135623730951,2
0.0,,1
0.2857142857142857,1.4960264830861913,7
0.0,0.0,3
1.0,1.4142135623730951,2
0.0,,1
0.6666666666666666,1.1547005383792517,3
0.0,0.0,4
0.0,,1
0.4,1.8165902124584952,5
-0.8,1.9235384061671346,5
0.3333333333333333,0.5773502691896258,3
-0.9230769230769231,1.6563785025137652,13
0.5,0.7071067811865476,2
0.0,0.0,2
-1.5,0.7071067811865476,2
-3.0,,1
-2.0,,1
4.0,,1
-1.3333333333333333,1.1547005383792517,3
0.0,0.0,2
0.0,0.0,3
0.0,,1
0.0,,1
3.0,,1
-0.6666666666666666,1.1547005383792517,3
-1.0,,1
-2.0,2.8284271247461903,2
0.0,,1
-0.5,2.1213203435596424,2
-0.25,0.5,4
-0.5333333333333333,1.9223002094465098,15
-2.0,,1
-0.5,0.7071067811865476,2
0.0,,1
0.0,0.0,4
-3.0,,1
0.0,,1
0.0,0.0,2
-2.0,,1
0.0,,1
-2.5,3.5355339059327378,2
0.0,,1
0.3333333333333333,0.5773502691896258,3
-0.6666666666666666,1.1547005383792517,3
0.0,,1
-1.0,1.4142135623730951,2
0.0,0.0,3
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-3.0,,1
-2.0,0.0,2
-1.0,0.816496580927726,4
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
-1.0,,1
1.0,1.4142135623730951,2
1.2,1.6431676725154984,5
1.3333333333333333,2.3094010767585034,3
0.0,,1
-1.0,1.7320508075688772,3
0.0,,1
1.4285714285714286,1.785164750607962,14
0.3333333333333333,0.5773502691896258,3
-2.0,,1
0.0,,1
0.0,,1
-3.5,2.1213203435596424,2
-0.5,0.7071067811865476,2
-1.0,1.4142135623730951,2
0.0,0.0,2
0.0,,1
0.0,2.8284271247461903,2
1.0,2.0,4
-1.75,2.0615528128088303,4
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,0.0,2
-0.6,0.8944271909999159,5
0.0,0.0,2
-1.0,1.4142135623730951,2
0.0,0.0,3
0.5,1.0,4
-2.0,,1
1.0,1.4142135623730951,2
-1.0,1.7320508075688772,3
1.0,1.4142135623730951,5
-3.0,,1
0.0,,1
-4.0,,1
-1.0,,1
-1.3333333333333333,1.1547005383792517,3
-0.3333333333333333,0.5773502691896258,3
1.0,,1
0.0,,1
0.0,,1
-0.6666666666666666,1.1547005383792517,3
-1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
0.0,0.0,2
1.3333333333333333,2.3094010767585034,3
-0.4,0.894427190999916,5
0.0,,1
-8.0,,1
0.0,0.0,3
-0.5555555555555556,1.509230856356236,9
0.0,,1
-1.8,1.7888543819998317,5
-2.0,,1
0.0,,1
-1.0,1.4142135623730951,2
2.0,,1
-0.3333333333333333,0.5773502691896258,3
0.0,0.0,5
1.0,1.4142135623730951,2
3.0,,1
1.0,2.8284271247461903,2
0.0,5.291502622129181,3
0.2,1.0954451150103321,5
0.0,,1
0.0,0.0,2
0.0,2.8284271247461903,2
0.0,0.0,2
-0.5,0.9258200997725514,8
0.0,,1
0.0,,1
0.0,0.0,3
1.0,,1
1.0,1.4142135623730951,2
2.0,,1
0.0,,1
0.3333333333333333,2.516611478423583,3
0.0,,1
-1.0,1.4142135623730951,2
2.0,,1
1.2,1.0954451150103324,5
0.0,,1
-2.0,,1
0.0,0.0,2
1.75,0.5,4
0.0,0.0,3
0.3333333333333333,2.0655911179772892,6
2.0,,1
-0.75,1.5,4
-2.0,2.8284271247461903,2
1.0,1.4142135623730951,2
2.0,,1
4.0,,1
-1.5,2.1213203435596424,2
-0.1,0.7378647873726218,10
2.0,,1
1.0,1.4142135623730951,2
-2.0,,1
-1.3333333333333333,1.1547005383792517,3
2.0,,1
0.0,0.0,2
-1.0,,1
0.6666666666666666,1.0327955589886446,6
-1.0,,1
0.0,,1
-3.0,,1
1.0,,1
4.0,,1
0.0,,1
1.5,1.8708286933869707,6
0.6666666666666666,1.3662601021279464,6
1.0,1.4142135623730951,2
1.0,,1
0.0,,1
1.0,1.4142135623730951,2
-2.0,,1
0.0,,1
1.0,,1
1.0,1.4142135623730951,2
-4.0,,1
-2.0,,1
0.0,,1
-2.0,,1
0.0,0.0,2
1.0,1.7320508075688772,3
-0.2,1.3984117975602022,10
-1.0,,1
-1.0,,1
-0.2,0.447213595499958,5
0.0,,1
2.0,,1
-2.0,,1
0.0,,1
0.0,0.0,2
-0.25,0.5,4
0.0,,1
-1.0,,1
-1.5,2.1213203435596424,2
0.0,0.5,9
-0.3333333333333333,0.5773502691896258,3
0.2,1.4832396974191326,5
0.0,0.816496580927726,10
2.0,,1
0.0,0.0,4
-1.0,1.4142135623730951,2
3.0,,1
-2.0,,1
2.0,,1
0.0,0.0,4
-2.0,1.4142135623730951,2
1.3333333333333333,1.1547005383792517,3
0.0,0.0,2
0.0,,1
-1.0,2.5495097567963922,5
-1.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-1.0,,1
1.0,,1
0.0,0.0,2
1.0,,1
0.0,,1
-0.8,1.0954451150103321,5
0.0,1.4142135623730951,2
0.0,,1
-0.6666666666666666,1.1547005383792517,3
2.0,,1
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
2.0,,1
1.0,,1
0.6666666666666666,1.1547005383792517,3
1.3333333333333333,1.5,9
0.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
2.0,1.632993161855452,4
0.3333333333333333,0.5773502691896258,3
0.0,,1
0.0,0.0,2
0.0,,1
-2.0,0.0,2
0.0,,1
-0.25,1.707825127659933,4
2.0,0.0,2
0.0,,1
0.0,,1
-0.5,0.9258200997725515,8
0.0,0.0,2
0.0,,1
0.0,,1
0.0,0.0,2
0.8888888888888888,1.4529663145135578,9
0.0,,1
0.0,,1
0.0,,1
0.0,,1
4.0,1.4142135623730951,2
0.0,,1
4.0,,1
0.0,0.0,2
0.0,,1
3.0,,1
0.0,0.0,3
0.0,0.0,2
-0.2857142857142857,0.7559289460184545,7
-2.0,,1
0.0,,1
-2.0,,1
0.0,2.0,3
0.0,,1
0.0,,1
-2.0,3.4641016151377544,3
0.0,0.0,2
-2.0,,1
0.0,0.0,2
0.0,,1
-0.6666666666666666,1.1547005383792517,3
0.0,,1
-2.0,,1
2.0,,1
0.0,,1
0.0,0.0,2
0.0,,1
-1.0,,1
-0.5,2.1213203435596424,2
0.0,,1
1.5,2.1213203435596424,2
-1.0,,1
0.0,,1
0.0,,1
0.0,0.0,3
0.0,,1
3.0,,1
1.5,2.1213203435596424,2
3.0,,1
0.6666666666666666,1.1547005383792517,3
-1.0,1.4142135623730951,2
0.0,,1
0.0,0.0,2
0.0,0.0,2
0.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,,1
-3.0,,1
-3.0,,1
-5.0,,1
3.0,,1
0.0,1.4142135623730951,5
3.0,,1
-0.5,0.7071067811865476,2
3.0,,1
-3.0,,1
-2.0,,1
2.0,,1
0.0,,1
-2.0,,1
0.0,0.0,2
1.0,1.4142135623730951,2
2.0,,1
-1.0,,1
-2.0,,1
0.0,,1
0.0,,1
-5.0,,1
0.0,,1
0.0,,1
2.0,,1
0.0,,1
0.0,,1
0.0,,1
2.0,,1
-1.0,1.4142135623730951,2
0.0,2.8284271247461903,2
-1.0,1.4142135623730951,2
0.0,,1
1.0,1.4142135623730951,2
3.0,1.7320508075688772,3
0.5,1.0,4
-1.0,1.4142135623730951,2
-1.0,,1
0.5,1.0,4
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-3.0,,1
3.0,,1
0.0,,1
1.3333333333333333,1.1547005383792517,3
1.0,1.4142135623730951,2
-2.0,,1
1.0,1.4142135623730951,2
0.0,0.0,2
-1.0,1.4142135623730951,2
0.0,0.0,2
0.0,0.0,2
0.0,0.0,3
-2.0,,1
0.6666666666666666,1.0327955589886444,6
0.0,,1
-0.3333333333333333,0.5773502691896258,3
1.0,,1
-3.0,,1
-2.0,,1
-3.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.6666666666666666,1.1547005383792517,3
-0.5,0.7071067811865476,2
-0.6666666666666666,1.1547005383792517,3
1.0,,1
0.0,,1
-3.0,,1
0.0,,1
3.0,,1
0.0,,1
1.0,,1
0.0,2.0,3
-2.0,2.0,3
0.0,,1
0.14285714285714285,1.6761634196950517,7
0.0,0.0,2
2.0,,1
-1.0,,1
0.5,3.109126351029605,4
1.5,0.7071067811865476,2
2.0,,1
2.0,,1
2.0,,1
-2.0,,1
0.0,,1
0.0,0.0,2
1.0,,1
0.0,0.0,2
0.0,,1
-1.0,1.4142135623730951,2
-1.5,2.1213203435596424,2
0.0,,1
4.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
-3.0,,1
3.0,,1
-5.0,,1
0.0,0.0,2
0.0,,1
0.0,,1
-2.0,,1
0.0,,1
0.6666666666666666,1.1547005383792517,3
0.0,,1
1.0,,1
0.0,,1
-2.0,,1
3.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
-1.0,,1
2.0,,1
-2.5,3.5355339059327378,2
1.0,1.7320508075688772,3
0.0,,1
-2.0,,1
0.0,,1
0.0,,1
0.0,,1
-1.5,2.1213203435596424,2
0.0,,1
1.0,,1
-0.25,0.5,4
0.0,,1
0.0,,1
1.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,,1
0.0,0.0,2
1.0,,1
0.0,,1
0.0,,1
2.0,,1
1.0,,1
1.0,,1
1.0,,1
0.0,0.0,2
0.0,,1
-2.0,,1
0.0,,1
2.0,,1
0.0,,1
0.0,,1
0.0,,1
0.5,0.7071067811865476,2
0.0,0.0,3
0.0,,1
0.0,,1
0.0,,1
0.0,,1
1.0,1.4142135623730951,2
0.0,,1
0.0,,1
0.0,,1
0.0,,1
2.0,,1
-2.0,2.8284271247461903,2
-2.0,,1
-1.0,1.7320508075688772,3
0.0,,1
0.0,,1
-3.0,,1
1.0,1.4142135623730951,2
-5.0,,1
0.0,,1
-1.0,,1
0.0,,1
2.0,,1
-1.0,,1
0.0,,1
0.0,,1
0.0,,1
2.0,,1
1.0,,1
0.0,,1
1.0,,1
-1.0,,1
2.0,,1
-2.0,,1
0.0,,1
0.0,,1
-1.0,,1
0.0,,1
-1.0,,1
0.0,,1
-2.0,,1
0.0,,1
2.0,,1
3.0,,1
0.0,0.0,2
-0.5,0.5773502691896257,4
0.0,,1
2.0,,1
2.0,,1
0.0,,1
-1.0,1.4142135623730951,2
0.0,,1
3.0,0.0,2
0.0,,1
-1.0,,1
0.0,,1
0.8,1.0954451150103324,5
0.0,2.8284271247461903,2
1.0,,1
-1.0,1.4142135623730951,2
-1.0,,1
0.0,0.0,2
-2.0,,1
-2.0,,1
0.0,1.4142135623730951,5
0.0,,1
2.5,0.7071067811865476,2
-1.0,,1
0.0,,1
0.0,0.0,2
0.0,0.0,2
2.0,,1
0.0,0.0,2
0.0,,1
1.0,,1
0.5,0.7071067811865476,2
0.5,0.7071067811865476,2
1.0,1.4142135623730951,2
-3.0,,1
0.0,0.0,3
0.0,,1
-1.3333333333333333,1.1547005383792517,3
0.5,0.7071067811865476,2
0.5,1.0,4
-0.5,0.7071067811865476,2
-3.0,2.6457513110645907,3
-1.0,1.4142135623730951,2
3.0,,1
2.0,,1
0.0,0.0,3
0.0,,1
0.0,,1
-2.0,,1
3.0,,1
0.0,,1
2.5,3.5355339059327378,2
1.5,2.1213203435596424,2
0.3333333333333333,2.516611478423583,3
4.0,,1
-0.5,0.7071067811865476,2
-2.0,,1
2.0,,1
1.0,,1
1.0,1.4142135623730951,2
1.0,1.4142135623730951,2
-2.0,,1
-1.0,2.8284271247461903,2
-1.0,,1
0.0,,1
-3.0,,1
-4.0,,1
-2.0,,1
0.0,,1
0.0,,1
3.0,,1
-3.0,,1
0.0,,1
2.0,,1
0.0,,1
-1.3333333333333333,2.3094010767585034,3
0.5,1.0,4
-1.5,2.3804761428476167,4
-1.0,,1
